Data;Dia da Semana;Feriado;;;
12/10/2033;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2033;quarta-feira;Finados;;;
15/11/2033;teráa-feira;Proclamaá∆o da Rep£blica;;;
25/12/2033;domingo;Natal;;;
01/01/2034;domingo;Confraternizaá∆o Universal;;;
20/02/2034;segunda-feira;Carnaval;;;
21/02/2034;teráa-feira;Carnaval;;;
07/04/2034;sexta-feira;Paix∆o de Cristo;;;
21/04/2034;sexta-feira;Tiradentes;;;
01/05/2034;segunda-feira;Dia do Trabalho;;;
08/06/2034;quinta-feira;Corpus Christi;;;
07/09/2034;quinta-feira;Independància do Brasil;;;
12/10/2034;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2034;quinta-feira;Finados;;;
15/11/2034;quarta-feira;Proclamaá∆o da Rep£blica;;;
25/12/2034;segunda-feira;Natal;;;
01/01/2035;segunda-feira;Confraternizaá∆o Universal;;;
05/02/2035;segunda-feira;Carnaval;;;
06/02/2035;teráa-feira;Carnaval;;;
23/03/2035;sexta-feira;Paix∆o de Cristo;;;
21/04/2035;s†bado;Tiradentes;;;
01/05/2035;teráa-feira;Dia do Trabalho;;;
24/05/2035;quinta-feira;Corpus Christi;;;
07/09/2035;sexta-feira;Independància do Brasil;;;
12/10/2035;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2035;sexta-feira;Finados;;;
15/11/2035;quinta-feira;Proclamaá∆o da Rep£blica;;;
25/12/2035;teráa-feira;Natal;;;
01/01/2036;teráa-feira;Confraternizaá∆o Universal;;;
25/02/2036;segunda-feira;Carnaval;;;
26/02/2036;teráa-feira;Carnaval;;;
11/04/2036;sexta-feira;Paix∆o de Cristo;;;
21/04/2036;segunda-feira;Tiradentes;;;
01/05/2036;quinta-feira;Dia do Trabalho;;;
12/06/2036;quinta-feira;Corpus Christi;;;
07/09/2036;domingo;Independància do Brasil;;;
12/10/2036;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2036;domingo;Finados;;;
15/11/2036;s†bado;Proclamaá∆o da Rep£blica;;;
25/12/2036;quinta-feira;Natal;;;
01/01/2037;quinta-feira;Confraternizaá∆o Universal;;;
16/02/2037;segunda-feira;Carnaval;;;
17/02/2037;teráa-feira;Carnaval;;;
03/04/2037;sexta-feira;Paix∆o de Cristo;;;
21/04/2037;teráa-feira;Tiradentes;;;
01/05/2037;sexta-feira;Dia do Trabalho;;;
04/06/2037;quinta-feira;Corpus Christi;;;
07/09/2037;segunda-feira;Independància do Brasil;;;
12/10/2037;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2037;segunda-feira;Finados;;;
15/11/2037;domingo;Proclamaá∆o da Rep£blica;;;
25/12/2037;sexta-feira;Natal;;;
01/01/2038;sexta-feira;Confraternizaá∆o Universal;;;
08/03/2038;segunda-feira;Carnaval;;;
09/03/2038;teráa-feira;Carnaval;;;
21/04/2038;quarta-feira;Tiradentes;;;
23/04/2038;sexta-feira;Paix∆o de Cristo;;;
01/05/2038;s†bado;Dia do Trabalho;;;
24/06/2038;quinta-feira;Corpus Christi;;;
07/09/2038;teráa-feira;Independància do Brasil;;;
12/10/2038;teráa-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2038;teráa-feira;Finados;;;
15/11/2038;segunda-feira;Proclamaá∆o da Rep£blica;;;
25/12/2038;s†bado;Natal;;;
01/01/2039;s†bado;Confraternizaá∆o Universal;;;
21/02/2039;segunda-feira;Carnaval;;;
22/02/2039;teráa-feira;Carnaval;;;
08/04/2039;sexta-feira;Paix∆o de Cristo;;;
21/04/2039;quinta-feira;Tiradentes;;;
01/05/2039;domingo;Dia do Trabalho;;;
09/06/2039;quinta-feira;Corpus Christi;;;
07/09/2039;quarta-feira;Independància do Brasil;;;
12/10/2039;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2039;quarta-feira;Finados;;;
15/11/2039;teráa-feira;Proclamaá∆o da Rep£blica;;;
25/12/2039;domingo;Natal;;;
01/01/2040;domingo;Confraternizaá∆o Universal;;;
13/02/2040;segunda-feira;Carnaval;;;
14/02/2040;teráa-feira;Carnaval;;;
30/03/2040;sexta-feira;Paix∆o de Cristo;;;
21/04/2040;s†bado;Tiradentes;;;
01/05/2040;teráa-feira;Dia do Trabalho;;;
31/05/2040;quinta-feira;Corpus Christi;;;
07/09/2040;sexta-feira;Independància do Brasil;;;
12/10/2040;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2040;sexta-feira;Finados;;;
15/11/2040;quinta-feira;Proclamaá∆o da Rep£blica;;;
25/12/2040;teráa-feira;Natal;;;
01/01/2041;teráa-feira;Confraternizaá∆o Universal;;;
04/03/2041;segunda-feira;Carnaval;;;
05/03/2041;teráa-feira;Carnaval;;;
19/04/2041;sexta-feira;Paix∆o de Cristo;;;
21/04/2041;domingo;Tiradentes;;;
01/05/2041;quarta-feira;Dia do Trabalho;;;
20/06/2041;quinta-feira;Corpus Christi;;;
07/09/2041;s†bado;Independància do Brasil;;;
12/10/2041;s†bado;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2041;s†bado;Finados;;;
15/11/2041;sexta-feira;Proclamaá∆o da Rep£blica;;;
25/12/2041;quarta-feira;Natal;;;
01/01/2042;quarta-feira;Confraternizaá∆o Universal;;;
17/02/2042;segunda-feira;Carnaval;;;
18/02/2042;teráa-feira;Carnaval;;;
04/04/2042;sexta-feira;Paix∆o de Cristo;;;
21/04/2042;segunda-feira;Tiradentes;;;
01/05/2042;quinta-feira;Dia do Trabalho;;;
05/06/2042;quinta-feira;Corpus Christi;;;
07/09/2042;domingo;Independància do Brasil;;;
12/10/2042;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2042;domingo;Finados;;;
15/11/2042;s†bado;Proclamaá∆o da Rep£blica;;;
25/12/2042;quinta-feira;Natal;;;
01/01/2043;quinta-feira;Confraternizaá∆o Universal;;;
09/02/2043;segunda-feira;Carnaval;;;
10/02/2043;teráa-feira;Carnaval;;;
27/03/2043;sexta-feira;Paix∆o de Cristo;;;
21/04/2043;teráa-feira;Tiradentes;;;
01/05/2043;sexta-feira;Dia do Trabalho;;;
28/05/2043;quinta-feira;Corpus Christi;;;
07/09/2043;segunda-feira;Independància do Brasil;;;
12/10/2043;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2043;segunda-feira;Finados;;;
15/11/2043;domingo;Proclamaá∆o da Rep£blica;;;
25/12/2043;sexta-feira;Natal;;;
01/01/2044;sexta-feira;Confraternizaá∆o Universal;;;
29/02/2044;segunda-feira;Carnaval;;;
01/03/2044;teráa-feira;Carnaval;;;
